target_id	length	eff_length	Adur_5	Adur_5_tpm
arahy.Tifrunner.gnm2.ann1.QC3XVA.1	2331	2143.25	1353.05	9.77742
arahy.Tifrunner.gnm2.ann1.B5I3IH.1	942	754.253	4	0.0821347
arahy.Tifrunner.gnm2.ann1.Y4AI5Q.1	249	80.2308	0	0
arahy.Tifrunner.gnm2.ann1.BXGR3K.1	861	673.342	141	3.24315
arahy.Tifrunner.gnm2.ann1.5XEL3K.1	816	628.375	0	0
arahy.Tifrunner.gnm2.ann1.F2D2KM.1	204	49.0827	0	0
arahy.Tifrunner.gnm2.ann1.SIQ1MV.1	1512	1324.25	48.5263	0.567532
arahy.Tifrunner.gnm2.ann1.QI357H.1	822	634.375	27	0.659176
arahy.Tifrunner.gnm2.ann1.AVG2RT.1	1305	1117.25	12	0.166346
arahy.Tifrunner.gnm2.ann1.SRJ81T.1	1605	1417.25	0	0
arahy.Tifrunner.gnm2.ann1.ERHS70.1	546	358.818	6	0.258977
arahy.Tifrunner.gnm2.ann1.57Y9Y2.1	915	727.272	3.77283	0.0803441
arahy.Tifrunner.gnm2.ann1.VSW4LH.1	1467	1279.25	0	0
arahy.Tifrunner.gnm2.ann1.PL87MH.1	348	165.343	0	0
arahy.Tifrunner.gnm2.ann1.CBB0MY.1	1572	1384.25	0	0
arahy.Tifrunner.gnm2.ann1.ZUD52U.1	624	436.63	0	0
arahy.Tifrunner.gnm2.ann1.50L6WD.1	1455	1267.25	26.531	0.324245
arahy.Tifrunner.gnm2.ann1.7GC0T1.1	2250	2062.25	0	0
arahy.Tifrunner.gnm2.ann1.TJZR4S.1	1602	1414.25	1.32694	0.0145314
arahy.Tifrunner.gnm2.ann1.AD5FFG.1	414	228.167	0	0
arahy.Tifrunner.gnm2.ann1.A89GZ1.1	1707	1519.25	112.776	1.14966
arahy.Tifrunner.gnm2.ann1.E0PWE1.1	987	799.253	0	0
arahy.Tifrunner.gnm2.ann1.CP2V1N.1_arahy.Tifrunner.gnm2.ann1.TN4W22.1	750	562.522	0	0
arahy.Tifrunner.gnm2.ann1.NJ1LAT.1	300	121.969	22	2.79355
arahy.Tifrunner.gnm2.ann1.35HI1V.1	480	293.133	0	0
arahy.Tifrunner.gnm2.ann1.SSU5GD.1	1125	937.253	1	0.0165244
arahy.Tifrunner.gnm2.ann1.HP7BC0.1	1323	1135.25	80.9504	1.10436
arahy.Tifrunner.gnm2.ann1.ICIJ2U.2	1299	1111.25	0	0
arahy.Tifrunner.gnm2.ann1.HIDG7R.1	681	493.561	0	0
arahy.Tifrunner.gnm2.ann1.5M7JWE.1	1101	913.253	9.20596	0.156121
arahy.Tifrunner.gnm2.ann1.ALH963.1	2853	2665.25	17.4339	0.101307
arahy.Tifrunner.gnm2.ann1.IGF4QT.1	459	272.331	0	0
arahy.Tifrunner.gnm2.ann1.N1IBZF.1	1422	1234.25	1.09017	0.0136797
arahy.Tifrunner.gnm2.ann1.282NXT.2	771	583.479	0	0
arahy.Tifrunner.gnm2.ann1.PF9IHL.1	4419	4231.25	676	2.47435
arahy.Tifrunner.gnm2.ann1.UIS3VC.1	549	361.8	0	0
arahy.Tifrunner.gnm2.ann1.5C0RMJ.1	1437	1249.25	52.2429	0.64768
arahy.Tifrunner.gnm2.ann1.97EUYU.2	432	245.795	69	4.34771
arahy.Tifrunner.gnm2.ann1.Y4YZQQ.1	675	487.573	0.000249963	7.93998e-06
arahy.Tifrunner.gnm2.ann1.S5Z9V6.1	1197	1009.25	1.22	0.0187216
arahy.Tifrunner.gnm2.ann1.49QQGD.1	990	802.253	2	0.0386102
arahy.Tifrunner.gnm2.ann1.UFMA6A.1	249	80.2308	6.33095	1.22211
arahy.Tifrunner.gnm2.ann1.GD16NN.1	798	610.375	0.5	0.012687
arahy.Tifrunner.gnm2.ann1.3I834E.1	861	673.342	0	0
arahy.Tifrunner.gnm2.ann1.3M5GW1.1	324	143.235	1.00025	0.108154
arahy.Tifrunner.gnm2.ann1.7L9N0K.1	1176	988.253	123	1.92762
arahy.Tifrunner.gnm2.ann1.PI58T4.1	438	251.658	0	0
arahy.Tifrunner.gnm2.ann1.0GE1ZU.1	669	481.573	0	0
arahy.Tifrunner.gnm2.ann1.1H7P3M.1	867	679.325	522	11.9008
arahy.Tifrunner.gnm2.ann1.AFM6H1.1	885	697.308	0	0
arahy.Tifrunner.gnm2.ann1.XEFQ2J.1	207	51.0135	0	0
arahy.Tifrunner.gnm2.ann1.9W3K41.1	1398	1210.25	0	0
arahy.Tifrunner.gnm2.ann1.86A1BZ.1	477	290.155	12.5207	0.668317
arahy.Tifrunner.gnm2.ann1.1Z1K26.1	918	730.272	2398	50.8567
arahy.Tifrunner.gnm2.ann1.CSM94Q.2	1332	1144.25	94	1.2723
arahy.Tifrunner.gnm2.ann1.Q2BBVU.1	348	165.343	0	0
arahy.Tifrunner.gnm2.ann1.49CV5E.1	342	159.737	0	0
arahy.Tifrunner.gnm2.ann1.JS1PTX.1	1887	1699.25	175	1.59501
arahy.Tifrunner.gnm2.ann1.F8HH5F.1	255	84.8972	0	0
arahy.Tifrunner.gnm2.ann1.GHTC3Q.1	615	427.663	300	10.8643
arahy.Tifrunner.gnm2.ann1.SHSL16.1	1935	1747.25	73	0.647069
arahy.Tifrunner.gnm2.ann1.YH938E.2	324	143.235	0	0
arahy.Tifrunner.gnm2.ann1.YXX8CM.1	609	421.694	123	4.51742
arahy.Tifrunner.gnm2.ann1.VDQ67E.1	1350	1162.25	69.312	0.923616
arahy.Tifrunner.gnm2.ann1.33LHWC.1	609	421.694	0	0
arahy.Tifrunner.gnm2.ann1.KQ3EB3.1	1107	919.253	0	0
arahy.Tifrunner.gnm2.ann1.K3YHKD.1	915	727.272	1	0.0212955
arahy.Tifrunner.gnm2.ann1.A6X2CD.1	1212	1024.25	379	5.7308
arahy.Tifrunner.gnm2.ann1.0Y513H.1	1524	1336.25	24	0.278167
arahy.Tifrunner.gnm2.ann1.YQ8C5N.1	2808	2620.25	41.4183	0.244812
arahy.Tifrunner.gnm2.ann1.H3V410.1	1269	1081.25	0	0
arahy.Tifrunner.gnm2.ann1.B7BSQF.1	1281	1093.25	0	0
arahy.Tifrunner.gnm2.ann1.5IU4RA.1	270	96.7307	24.2913	3.88929
arahy.Tifrunner.gnm2.ann1.NC1EXA.1	576	388.744	0	0
arahy.Tifrunner.gnm2.ann1.K3U1RD.1	2811	2623.25	118.931	0.702165
arahy.Tifrunner.gnm2.ann1.U3PQ4N.1	1476	1288.25	77	0.925706
arahy.Tifrunner.gnm2.ann1.BDSN0J.1	300	121.969	0	0
arahy.Tifrunner.gnm2.ann1.PFN41B.1	2121	1933.25	8.84584	0.0708654
arahy.Tifrunner.gnm2.ann1.G8PY79.3	2151	1963.25	612.424	4.83125
arahy.Tifrunner.gnm2.ann1.F8ILKH.1	879	691.308	1.15498	0.0258753
arahy.Tifrunner.gnm2.ann1.7LSJ26.1	2727	2539.25	12.0351	0.0734054
arahy.Tifrunner.gnm2.ann1.DEG7JK.1	426	239.898	1	0.0645591
arahy.Tifrunner.gnm2.ann1.EHW2CP.1	204	49.0827	0	0
arahy.Tifrunner.gnm2.ann1.3ZE8DZ.1	357	173.751	0	0
arahy.Tifrunner.gnm2.ann1.LMDE4E.1	1782	1594.25	1.33967	0.0130144
arahy.Tifrunner.gnm2.ann1.DS477V.1	1410	1222.25	181	2.29351
arahy.Tifrunner.gnm2.ann1.C0950A.1	561	373.773	0	0
arahy.Tifrunner.gnm2.ann1.HG2532.2	1119	931.253	1	0.0166309
arahy.Tifrunner.gnm2.ann1.WUL5PS.2	1482	1294.25	389	4.65494
arahy.Tifrunner.gnm2.ann1.UVE7PI.1	687	499.561	0	0
arahy.Tifrunner.gnm2.ann1.8XA69V.1	273	99.2231	0	0
arahy.Tifrunner.gnm2.ann1.CFM630.1	981	793.253	600	11.7145
arahy.Tifrunner.gnm2.ann1.9Z6I10.1	585	397.715	561	21.8462
arahy.Tifrunner.gnm2.ann1.IFCS5G.1	267	94.3237	0	0
arahy.Tifrunner.gnm2.ann1.2R0TK7.1	1206	1018.25	116.679	1.77468
arahy.Tifrunner.gnm2.ann1.5497SD.1	1221	1033.25	0	0
arahy.Tifrunner.gnm2.ann1.RWWV81.1	1830	1642.25	269	2.53686
arahy.Tifrunner.gnm2.ann1.NRRA5I.1	243	75.7639	0	0
arahy.Tifrunner.gnm2.ann1.1QRJ4L.1	729	541.522	1	0.0286001
arahy.Tifrunner.gnm2.ann1.T35FHV.1	3006	2818.25	2.34529	0.0128884
arahy.Tifrunner.gnm2.ann1.Y4UZBH.1	264	91.9512	0	0
arahy.Tifrunner.gnm2.ann1.2PS7IJ.1	1317	1129.25	0	0
arahy.Tifrunner.gnm2.ann1.CGBE6F.1	4539	4351.25	0	0
arahy.Tifrunner.gnm2.ann1.LT4TK7.1	699	511.548	0	0
arahy.Tifrunner.gnm2.ann1.W1607K.1	1392	1204.25	28	0.360101
arahy.Tifrunner.gnm2.ann1.71FTPI.1	1113	925.253	0	0
arahy.Tifrunner.gnm2.ann1.PRFH10.1	237	71.3848	1	0.216959
arahy.Tifrunner.gnm2.ann1.I2ZJD2.1	663	475.585	61.6272	2.00691
arahy.Tifrunner.gnm2.ann1.U81MKX.1	1965	1777.25	367.739	3.2046
arahy.Tifrunner.gnm2.ann1.HVKI9W.1	1704	1516.25	0	0
arahy.Tifrunner.gnm2.ann1.820J93.1	1269	1081.25	88	1.26049
arahy.Tifrunner.gnm2.ann1.DP3R7M.1	1707	1519.25	30	0.305826
arahy.Tifrunner.gnm2.ann1.SR535B.1	735	547.522	84.0334	2.37703
arahy.Tifrunner.gnm2.ann1.81UYU3.2	1056	868.253	71.5602	1.27646
arahy.Tifrunner.gnm2.ann1.X7WWLG.1	2733	2545.25	0	0
arahy.Tifrunner.gnm2.ann1.DI7635.1	831	643.375	0	0
arahy.Tifrunner.gnm2.ann1.CCNW4C.1	1464	1276.25	3	0.0364056
arahy.Tifrunner.gnm2.ann1.EWV5Y4.1	672	484.573	191.24	6.11227
arahy.Tifrunner.gnm2.ann1.CACA61.1	2019	1831.25	0	0
arahy.Tifrunner.gnm2.ann1.7CLK78.1	1821	1633.25	0	0
arahy.Tifrunner.gnm2.ann1.IMB0BX.1	546	358.818	1	0.0431628
arahy.Tifrunner.gnm2.ann1.UKC1QQ.1	1956	1768.25	0	0
arahy.Tifrunner.gnm2.ann1.YF6UR5.1	504	317.003	0	0
arahy.Tifrunner.gnm2.ann1.JML2SU.1	1878	1690.25	27	0.247398
arahy.Tifrunner.gnm2.ann1.ZLV99U.2	1692	1504.25	0	0
arahy.Tifrunner.gnm2.ann1.2LQ1ZN.1	1791	1603.25	553	5.34203
arahy.Tifrunner.gnm2.ann1.80YKV9.1	276	101.607	0	0
arahy.Tifrunner.gnm2.ann1.SQH7P6.1	1056	868.253	19	0.338915
arahy.Tifrunner.gnm2.ann1.J522ZU.2	1335	1147.25	0	0
arahy.Tifrunner.gnm2.ann1.ZAH2CS.1	408	222.371	0	0
arahy.Tifrunner.gnm2.ann1.2ACH3L.1	315	134.973	0	0
arahy.Tifrunner.gnm2.ann1.G7HP2Z.1	1029	841.253	13.4166	0.247002
